"Basename","year","month","day","hour","class","method","count","project"
"scan106_2023-06-30_08H00M23S",2023,6,30,8,"background","manual",0,"DESCENT"
"scan106_2023-06-30_08H00M23S",2023,6,30,8,"collembola","auto",1,"DESCENT"
"scan106_2023-06-30_08H00M23S",2023,6,30,8,"collembola","manual",8,"DESCENT"
"scan106_2023-06-30_08H00M23S",2023,6,30,8,"enchytraeidae","auto",1,"DESCENT"
"scan106_2023-06-30_08H00M23S",2023,6,30,8,"enchytraeidae","manual",14,"DESCENT"
"scan106_2023-06-30_08H00M23S",2023,6,30,8,"unknown","auto",1,"DESCENT"
"scan106_2023-06-30_08H00M23S",2023,6,30,8,"unknown","manual",5,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"acari","auto",1,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"acari","manual",5,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"background","auto",26,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"background","manual",0,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"collembola","auto",1,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"collembola","manual",7,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"enchytraeidae","auto",1,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"enchytraeidae","manual",23,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"multi_taxa","auto",2,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"multi_taxa","manual",0,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"pauropoda","auto",1,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"pauropoda","manual",1,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"symphyla","auto",1,"DESCENT"
"scan106_2023-07-01_08H00M23S",2023,7,1,8,"symphyla","manual",8,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"acari","auto",1,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"acari","manual",3,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"background","auto",31,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"background","manual",0,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"enchytraeidae","auto",3,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"enchytraeidae","manual",21,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"pauropoda","auto",3,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"pauropoda","manual",2,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"symphyla","auto",1,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"symphyla","manual",8,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"unknown","auto",2,"DESCENT"
"scan106_2023-07-02_08H00M24S",2023,7,2,8,"unknown","manual",6,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"background","auto",35,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"background","manual",0,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"collembola","auto",1,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"collembola","manual",7,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"enchytraeidae","auto",2,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"enchytraeidae","manual",16,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"julida","auto",1,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"julida","manual",0,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"multi_taxa","auto",1,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"multi_taxa","manual",0,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"pauropoda","auto",3,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"pauropoda","manual",3,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"symphyla","auto",1,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"symphyla","manual",13,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"unknown","auto",2,"DESCENT"
"scan106_2023-07-03_08H00M24S",2023,7,3,8,"unknown","manual",6,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"acari","auto",2,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"acari","manual",5,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"background","auto",116,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"background","manual",0,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"enchytraeidae","auto",2,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"enchytraeidae","manual",13,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"julida","auto",2,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"julida","manual",0,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"pauropoda","auto",2,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"pauropoda","manual",2,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"symphyla","auto",4,"DESCENT"
"scan106_2023-07-04_08H00M23S",2023,7,4,8,"symphyla","manual",10,"DESCENT"
"scan106_2023-07-05_08H00M24S",2023,7,5,8,"background","auto",154,"DESCENT"
"scan106_2023-07-05_08H00M24S",2023,7,5,8,"background","manual",0,"DESCENT"
"scan106_2023-07-05_08H00M24S",2023,7,5,8,"enchytraeidae","auto",1,"DESCENT"
"scan106_2023-07-05_08H00M24S",2023,7,5,8,"enchytraeidae","manual",14,"DESCENT"
"scan106_2023-07-05_08H00M24S",2023,7,5,8,"pauropoda","auto",1,"DESCENT"
"scan106_2023-07-05_08H00M24S",2023,7,5,8,"pauropoda","manual",2,"DESCENT"
"scan106_2023-07-05_08H00M24S",2023,7,5,8,"unknown","auto",1,"DESCENT"
"scan106_2023-07-05_08H00M24S",2023,7,5,8,"unknown","manual",6,"DESCENT"
"scan106_2023-07-14_08H00M24S",2023,7,14,8,"background","auto",582,"DESCENT"
"scan106_2023-07-14_08H00M24S",2023,7,14,8,"background","manual",0,"DESCENT"
"scan106_2023-07-14_08H00M24S",2023,7,14,8,"enchytraeidae","auto",2,"DESCENT"
"scan106_2023-07-14_08H00M24S",2023,7,14,8,"enchytraeidae","manual",2,"DESCENT"
