taxon,resolution,frequence,run_id,curve_type,AIC,param_a,param_b,param_c
Total,600,60,BAC01_1_600_60_run01,asymp_exponential,21.775046199812387,62.2479421511599,0.09176609751805767,NA
Total,600,60,BAC01_1_600_60_run01,logistic,22.284171462779135,37.29150185279731,4.022125077143756,2.1579896068822833
Total,600,60,BAC01_1_600_60_run01,logarithmic,41.38377641785012,3.538327377069773,12.607108649851675,NA
Total,600,60,BAC01_3_600_60_run01,power,-31.4237172825961,28.419550947881717,1.0694319489319042,NA
Total,600,60,BAC01_3_600_60_run01,linear,87.40884172882788,-17.909090909090786,35.77272727272726,NA
Total,600,60,BAC01_3_600_60_run01,logistic,91.97265078214042,524.8694197564299,7.924498601482417,3.0523547266496696
Total,600,60,BAC01_3_600_60_run01,logarithmic,119.87310366193515,-38.795262487159924,148.02321557665434,NA
Total,600,60,BAC01_4_600_60_run01,power,-11.082274844605863,26.713288664474703,1.2717184561226216,NA
Total,600,60,BAC01_4_600_60_run01,linear,75.36698163518562,-21.01818181818169,48.29090909090908,NA
Total,600,60,BAC01_4_600_60_run01,logistic,96.49497071455521,538.7751727908792,5.980162752454093,2.2690572286518673
Total,600,60,BAC01_4_600_60_run01,logarithmic,120.90630720109681,-58.426340334273746,205.61229841042882,NA
Total,600,60,BAC02_2_600_60_run01,power,-25.551588488612726,8.628350339973416,0.8497844094763835,NA
Total,600,60,BAC02_2_600_60_run01,linear,46.27140765947314,4.8000000000000185,5.654545454545453,NA
Total,600,60,BAC02_2_600_60_run01,michaelis_menten,47.684340766214596,278.07435508712837,35.78536401152753,NA
Total,600,60,BAC02_2_600_60_run01,logistic,56.680351912595626,77.24986864485375,5.959777603342076,3.0161247250145773
Total,600,60,BAC02_2_600_60_run01,logarithmic,73.19453829408442,0.21545238829068866,24.204237947321438,NA
Total,600,60,BAC02_4_600_60_run01,power,-16.975819160725962,6.900569012886685,1.4234251249178838,NA
Total,600,60,BAC02_4_600_60_run01,logistic,60.42743695904741,294.8580819090255,8.275987015405182,2.3970639690227147
Total,600,60,BAC02_4_600_60_run01,linear,91.76270912229651,-35.18181818181812,22.272727272727266,NA
Total,600,60,BAC02_4_600_60_run01,logarithmic,114.20114250525852,-43.33558738201483,89.11347434503361,NA
Total,600,60,BAC03_1_600_60_run01,power,8.11368482982373,1.7069505655922221,1.4850008172334968,NA
Total,600,60,BAC03_1_600_60_run01,linear,52.90910792149073,-3.490909090909078,4.8999999999999995,NA
Total,600,60,BAC03_1_600_60_run01,logistic,59.0881043620124,69.3765348667794,7.891067151537951,2.9353018615889113
Total,600,60,BAC03_1_600_60_run01,logarithmic,75.06255676161578,-6.7820563166603,20.546011568870817,NA
Total,600,60,BAC03_3_600_60_run01,power,-42.57354126489422,69.61222980843947,0.7090142980631123,NA
Total,600,60,BAC03_3_600_60_run01,michaelis_menten,84.66817351094798,837.8718473246441,13.805207931221199,NA
Total,600,60,BAC03_3_600_60_run01,linear,87.08706375761601,57.981818181818305,30.245454545454532,NA
Total,600,60,BAC03_3_600_60_run01,logistic,91.73786493828527,424.29220562784064,4.996415398128885,3.0394532101572858
Total,600,60,BAC03_3_600_60_run01,logarithmic,105.71718226506567,30.140002859630936,131.551792416156,NA
Total,600,360,BAC01_1_600_360_run01,power,-16.352767960665595,8.668205883321964,0.7833555093694063,NA
Total,600,360,BAC01_1_600_360_run01,logistic,47.551137628390116,78.91313533538839,6.9602453848486,3.25293827918421
Total,600,360,BAC01_1_600_360_run01,linear,50.853247486710984,3.090909090909112,5.272727272727271,NA
Total,600,360,BAC01_1_600_360_run01,michaelis_menten,54.91264230395758,657.5485725133317,107.28462836157958,NA
Total,600,360,BAC01_1_600_360_run01,asymp_exponential,54.92989473691369,348.52811232627687,0.017541506857327152,NA
Total,600,360,BAC01_1_600_360_run01,logarithmic,77.76889470961972,-0.0819264629016224,21.87718296716999,NA
Total,600,360,BAC01_2_600_360_run01,power,-20.268145367385603,6.075489843150764,1.0541558553381278,NA
Total,600,360,BAC01_2_600_360_run01,linear,55.13829366753588,-3.4363636363636174,7.390909090909089,NA
